word,meaning
core,n. 核心
inborn,adj. 天生的
habitable,adj. 可居住的
ecological,adj. 生态的
stipulate,adj. 有托叶的，规定
legitimize,vt. 使…合法
crystallize,vt. 使结晶；明确，结晶
solar-powered,adj. 太阳能的
cosy,n. 保温罩， 舒适的
roller,n. [机] 滚筒
unsanitary,adj. 不卫生的
condone,vt. 宽恕
bereave,vt. 使……失去
faulty,adj. 有错误的
enigma,n. 谜
gill,n. 鳃；菌褶；（山谷中的）沟壑
spare,n. 剩余；备用零件， 节约
nursery,n. 苗圃
semantic,adj. 语义的
barren,n. 荒地，贫瘠的
conductive,adj. 传导的
eccentric,n. 古怪的人
adj. 古怪的
slacken,vi. 松劲
mentor,n. 指导者
pad,n. 衬垫
unblemished,adj. 无缺点的
lounge,n. 休息室
axle,n. 车轴
dietary,n. 饮食的规定；食谱，饮食的
hamper,n. 食盒
disparage,vt. 蔑视
corporal,n. 下士
adj. 肉体的
libel,n. 诽谤罪
criterion,n. （批评判断的）标准
eco-friendly,adj. 对生态环境友好的
predator,n. [动] 捕食者
telegraph,n. [通信] 电报机
episodic,adj. 插曲式的
trespass,n. 罪过；非法侵入
millennium,n. 千年期
susceptible,n. 易得病的人
adj. 易受影响的
antiseptic,n. 防腐剂
indolent,adj. 懒惰的
thrifty,adj. 节约的
nutritious,adj. 有营养的
dupe,vt. 欺骗
overfill,v. 把…装得溢出
inviolable,adj. 不可侵犯的
penalize,vt. 处罚
slander,n. 诽谤
restore,vi. 恢复
virtuous,adj. 善良的
superstitious,adj. 迷信的
bead,n. 珠子，用珠装饰
malt,n. 麦芽；麦芽酒，含麦芽的
augment,n. 增加
agile,adj. 敏捷的
tribal,adj. 部落的
precede,vt. 领先
alleviate,vt. 减轻
antibiotic,n. 抗生素
overexploit,过度开采
grill,n. 烤架
inculcate,vt. 教育
brutal,adj. 残忍的；野蛮的
avenge,vt. 替…报仇，报复
invasive,adj. 侵略性的
upgrade,n. 升级
commute,n. 通勤（口语），减刑
legislative,adj. 立法的
differentiate,vt. 区分
sentient,n. 有知觉的人， 有感情的
pour,n. 倾泻；流出；骤雨
hook,n. 挂钩
tighten,vt. 变紧
humane,adj. 仁慈的
infiltrate,n. 渗透物， 渗入

violate,vt. 违反；侵犯
glacier,n. 冰河
hereditary,n. 遗传类
adj. 遗传的
discharge,n. 排放
refrain,n. 叠句
supportive,adj. 支持的
accustom,vt. 使习惯于
inalienable,adj. 不可分割的
savour,n. 滋味
insidious,adj. 阴险的
pump,n. 泵
astronomy,n. 天文学
hazardous,adj. 有危险的
segregate,vt. 使隔离
tillable,adj. 适于耕种的
overgraze,vi. 过度放牧
embody,vt. 体现
reciprocate,vt. 报答
moribund,adj. 垂死的
isolated,adj. 孤立的
modish,adj. 流行的
maltreat,vt. 虐待
pine,n. [林] 松树；凤梨
disobey,v. 违反
moss,n. 苔藓
versatile,adj. 多才多艺的；通用的
grudge,n. 怨恨
pretentious,adj. 自命不凡的
enlist,vt. 使入伍
curb,n. 抑制
elaboration,n. 苦心经营
snobbish,adj. 势利的
magnet,n. 磁铁
prevalence,n. 流行
bleak,adj. 阴冷的；荒凉的
ecliptic,n. 黄道，黄道的
vicious,adj. 恶毒的
begrudge,vt. 羡慕
diffuse,vt. 扩散
accumulation,n. 积聚
alluvial,adj. 冲积的
avalanche,n. 雪崩，崩塌
boulder,n. 卵石
carbon,n. [化学] 碳
cascade,n. 小瀑布
catastrophe,n. 大灾难
Celsius,n. 摄氏度，摄氏的
circulation,n. 流通
climatic,adj. 气候的
combustion,n. 燃烧
conservation,n. 保存
contaminate,vt. 污染
counterbalance,n. 平衡力
crater,n. 火山口
cropland,n. 农田
debris,n. 碎片
decompression,n. [特医] 解压
deforestation,n. 采伐森林
delta,n. （河流的）三角洲
demographic,adj. 人口统计学的
demolish,vt. 拆除
deteriorate,vi. 恶化
deterioration,n. 恶化
disintegrate,vi. 瓦解
disrupt,vt. 破坏；分裂的
drought,n. 干旱
dump,n. 垃圾场，倾卸；丢下
ecological,adj. 生态的
ecosystem,n. 生态系统
embankment,n. 路堤
eruption,n. 爆发
evacuate,vt. 疏散
extinction,n. 灭绝
Fahrenheit,n. 华氏温度计
gas emission,瓦斯泄出
glacier,n. 冰河
granite,n. 花岗岩
greenhouse,n. 温室
habitat,n. [生态] 栖息地
humid,adj. 潮湿的
irreversible,adj. 不可逆的
log,vi. 伐木
luxuriant,adj. 繁茂的
magma,n. [地质] 岩浆
mechanism,n. 机制；原理
meteorology,n. 气象状态
ozone,n. [化学] 臭氧
petroleum,n. 石油
phenomenon,n. 现象
prioritize,vt. 安排优先次序
pulverised rock,碎石
radiation,n. 辐射
reclaim,n. 改造
recurrent,adj. 复发的；周期性的
recycle,n. 再生
resource depletion,un. 资源枯竭

sediment,n. 沉积
slope,n. 斜坡
solar,n. 日光浴室，太阳的
sulphuric acid,n. 硫酸

the Earth's mantle,地幔
thrive,vi. 繁荣
timber,n. 木材
tropical,adj. 热带的
ultraviolet light,na. 紫外线

vegetation,n. 植被；植物
viability,n. 生存能力
viscous lava,粘性熔岩
volcanologist,n. 火山学家
water consumption,un. 用水量
aperture,n. 孔
box camera,un. 〔摄〕方镜箱照相机

cartridge,弹药筒
cinecamera,n. 电影摄影机
diaphragm,n. 隔膜；快门
eyepiece,n. [光] 目镜
film,n. 电影
filter,n. 滤波器
flash,n. 闪光
flashlight,n. 手电筒
folding camera,风箱式照相机
gelatine,n. 胶质
guide number,n. 【摄】闪光指数

holder,n. 持有人
latitude,n. 纬度
lens,n. 透镜
magazine,n. 杂志
mask,n. 面具
photoelectric cell,n. 光电管
photometer,n. 光度计
plate,n. 碟
plateholder,n. 胶片夹
sensitivity,n. 敏感
shutter release,un. 〔摄〕快门按钮
shutter,n. 快门
spool,n. 线轴
spotlight,n. 聚光灯
floodlight,n. 照明灯
still camera,照相机
strain,n. 张力
sunshade,n. 遮阳伞
telemeter,n. 测距仪
tripod,n. [摄] 三脚架
viewfinder,n. 取景器
wide-angle lens,n. 广角透镜

zoom lens,n. 变焦镜头

versatile,adj. 多才多艺的；通用的
alchemy,n. 点金术
metallurgy,n. 冶金
alloy,n. 合金
vt. 使成合金
electrode,顽皮雷弹
distill,vt. 提取
quartz,n. 石英
phosphorus,n. 磷
inflammable,n. 易燃物
adj. 易燃的
ceramic,n. 陶瓷
fiber,n. 纤维
optics,n. [光] 光学
retina,n. [解剖] 视网膜

iris,n. [解剖] 虹膜
opaque,adj. 不透明的
microprocessor,n. [计] 微处理器
binary,adj. [数] 二进制的；二元的
buffer,n. [计] 缓冲区；缓冲器
browser,n. [计] 浏览器
hypertext,n. [计] 超文本
reticular,adj. 网状的
Ethernet,n. [计] 以太网
domain,n. 领域
patent,n. 专利权
artificial,adj. 人造的
dome,n. 圆屋顶
sewage,n. 污水
hydraulic,adj. 液压的
landfill,n. 垃圾填埋地
ventilation,n. 通风设备
polytechnic,n. 工艺学校
geometric,adj. 几何学的
asymmetry,n. 不对称
bilateral,adj. 双边的
pediatrician,n. 儿科医师（等于pediatrist）
gynecologist,n. 妇科医生
neurologist,神经学家
psychiatrist,n. 精神病学家
dentist,n. 牙科医生
anesthetist,n. 麻醉师
clinic,n. 临床
sanatorium,n. 疗养院
wholesome,adj. 健全的
vaccinate,vt. 给…注射疫苗
complaint,n. 抱怨
affection,n. 喜爱
ulcer,n. [病理] 溃疡
lesion,n. 损害
injury,n. 伤害
eruption,n. 爆发
spot,n. 地点
pimple,n. 疙瘩
blackhead,n. 黑头粉刺
blister,n. 水泡
boil,n. 沸腾
scar,n. 创伤
wart,n. [皮肤] 疣（等于verruca）
corn,n. （美）玉米
bruise,n. 擦伤
bump,n. 肿块
swelling,n. 肿胀
twist,n. 扭曲
symptom,n. [临床] 症状
diagnosis,n. 诊断
case,n. 情况
epidemic,n. 传染病
attack,n. 攻击
sneeze,n. 喷嚏
faint,n. [中医] 昏厥
dizziness,n. 头晕
lose consciousness,un. 不省人事

diet,n. 饮食
treatment,n. 治疗
cure,n. 治疗
anemia,n. 贫血
arthritis,n. [外科] 关节炎
bronchitis,n. [内科] 支气管炎
cancer,[天] 巨蟹座
indigestion,n. 消化不良
influenza,n. 流行性感冒（flu）
leukemia,n. [内科][肿瘤] 白血病
measles,n. [内科] 麻疹
paralysis,n. 麻痹
pneumonia,n. 肺炎
poliomyelitis,n. [内科] 脊髓灰质炎
rabies,n. [内科] 狂犬病
scarlet fever,n. 猩红热

smallpox,n. [内科] 天花
swamp fever,n. 沼泽热
anesthesia,n. 麻醉
blood transfusion,n. 输血

transplant,n. 移植
stitches,n. 缝线
operating theatre,n. 手术室

instruments,n. [仪] 仪器（instrument复）
bandage,n. 绷带
vt. 用绷带包扎
gauze,n. 纱布
compress,vt. 压缩
sticking plaster,na. 橡皮膏

plaster,n. 石膏
labour exchange,na. 物物平等交换
full employment,un. 充分就业

piecework,n. 计件工作
timework,n. 计时工作
assembly line work,组装线工作
occupation,n. 职业
vacancy,n. 空缺
work permit,n. （国外就业）工作许可证

application,n. 应用
engage,vi. 从事；答应
work contract,un. 承包

industrial accident,un. 工伤事故

vocational guidance,na. 业务辅导

vocational training,un. 专业培训

labour costs,劳动力成本
permanent worker,长期工
staff,n. 职员
skilled worker,n. 技工

specialized worker,熟练工人
collaborator,n. [劳经] 合作者
foreman,n. 领班
craftsman,n. 工匠
specialist,n. 专家
night shift,na. 夜班(时间)
proletarian,n. 普罗
trade union,n. 工会

guild,n. 协会
association,n. 协会
emigration,n. 移民
representative,n. 代表；众议员
， 典型的
works council, 劳资联合委员会
labour law,劳动法
remuneration,n. 报酬；酬劳
wage index,un. 工资指数
basic wage,un. 基本工资
gross wages,全部收入
hourly wages,计时工资
bonus,n. 奖金
payday,n. 发薪日
pay slip,n. 工资单
payroll,n. 工资单
unemployment benefit,n. 失业补贴（或津贴）
old-age pension,退休金
retirement,n. 退休
claim,n. 要求
go-slow,n. 怠工
strike pay,罢工津贴
demonstration,n. 示范
sanction,n. 制裁
unemployment,n. 失业
discharge,n. 排放
dismissal,n. 解雇
negotiation,n. 谈判
accommodation,n. 住处
lodging,n. 寄宿
lease,n. 租约
tenant,n. 承租人
landlord,n. 房东
dormmate,室友
dormitory,n. 宿舍
real estate,n. 房地产
vicinity,n. 邻近
flat,n. 平地， 单调的；不景气的
deposit,n. 存款
linen,n. 亚麻布
stationery,n. 文具
laundry,n. 洗衣店
cafeteria,n. 自助餐厅
cater,vt. 投合
aerobics,n. 有氧运动法
badminton,n. 羽毛球
baseball,n. 棒球
squash,n. 壁球
amateur,n. 爱好者
gathering,n. 聚集
excursion,n. 偏移；远足；短程旅行
illiterate,n. 文盲，文盲的
discipline,n. 学科；纪律
vt. 训练
terminology,n. 术语
dean,n. 院长
curriculum,n. 课程
syllabus,n. 教学大纲
calendar,n. 日历
compulsory,n. 规定动作，义务的
recruit,n. 招聘
prestige,n. 威望
esteem,n. 尊重
aptitude,n. 天资
matriculation,n. 入学考试
transferable,adj. 可转让的
scholarship,n. 奖学金；学识
tutorial,n. 个别指导，家庭教辅导的
assignment,n. 分配
dissertation,n. 论文
credential,n. 证书
molecule,n. [化学] 分子；微小颗粒
amino acids,n. 蛋白质
protein,n. 蛋白质
enzyme,n. [生化] 酶
botany,n. 植物学
flora,n. 植物区系
fauna,n. 动物群
bacteria,n. [微] 细菌
fungi,n. 真菌
algae,n. [植] 藻类
fade,n. [电影][电视] 淡出
organism,n. 有机体
reptile,n. 爬行动物
amphibian,n. [脊椎] 两栖动物
mammal,n. [脊椎] 哺乳动物
primate,n. 大主教
evolution,n. 演变
gene,n. [遗] 基因
genetics,n. 遗传学
helix,n. 螺旋
mutation,n. [遗] 突变
predator,n. [动] 捕食者
embryo,n. [胚] 胚胎
grasshopper,n. 蚱蜢
cricket,n. 板球
pollen,n. [植] 花粉
hive,n. 蜂房
larva,n. [水产] 幼体
pupation,n. 化蛹
hemisphere,n. 半球
somatic,adj. 躯体的
limb,n. 肢
anatomy,n. 解剖
paralyze,vt. 使麻痹
artery,n. 动脉
gland,n. 腺
pancreas,n. [解剖] 胰腺
hormone,n. [生理] 激素
cholesterol,n. [生化] 胆固醇
Chinese,n. 中文
English,n. 英语
Japanese,n. 日本人
mathematics,n. 数学
science,n. 科学
gymnastics,n. 体操
history,n. 历史
algebra,n. 代数学
geometry,n. 几何学
geography,n. 地理
biology,n. （一个地区全部的）生物
chemistry,n. 化学
physics,n. 物理学
physical geography,n. 自然地理学
literature,n. 文学
sociology,n. 社会学
psychology,n. 心理学
philosophy,n. 哲学
engineering,n. 工程
mechanical engineering,n. 机械工程学
electronic engineering,na. 电子工程学
medicine,n. 药
social science,n. 社会科学
agriculture,n. 农业；农耕；农业生产；农艺
astronomy,n. 天文学
economics,n. 经济学
politics,n. 政治
commercial science,商业学
biochemistry,n. 生物化学
anthropology,n. 人类学
linguistics,n. 语言学
accounting,n. 会计
law,n. 法律
jurisprudence,n. 法律体系
banking,n. 银行业
metallurgy,n. 冶金
finance,n. 财政
mass-communication,n. 大众传播学
journalism,n. 新闻业
atomic energy,na. 【化】原子能
civil engineering,n. 土木工程
architecture,n. 建筑学
chemical engineering,n. 化学工程
accounting and statistics,会计统计学
business administration,n. 工商管理学
library,n. 图书馆
diplomacy,n. 外交
foreign language,n. 外文，外语
major,adj. 主要的
renewable,可更新的
minor,未成年的
